0.343,0.092,0.040
0.445,0.096,0.046
0.551,0.098,0.048
0.624,0.097,0.053
0.665,0.098,0.049
0.687,0.095,0.050
0.708,0.095,0.053
0.723,0.097,0.055
0.715,0.095,0.057
0.710,0.094,0.056
0.745,0.097,0.059
0.758,0.098,0.057
0.739,0.096,0.061
0.767,0.101,0.061
0.777,0.103,0.060
0.765,0.104,0.062
0.751,0.107,0.062
0.745,0.109,0.062
0.748,0.112,0.061
0.729,0.115,0.062
0.745,0.125,0.060
0.757,0.140,0.059
0.753,0.160,0.057
0.750,0.187,0.058
0.746,0.229,0.058
0.747,0.285,0.058
0.735,0.343,0.056
0.732,0.390,0.055
0.739,0.435,0.056
0.734,0.464,0.059
0.725,0.472,0.057
0.721,0.476,0.055
0.733,0.481,0.059
0.725,0.462,0.059
0.732,0.447,0.058
0.743,0.441,0.059
0.744,0.426,0.061
0.748,0.406,0.061
0.728,0.373,0.063
0.716,0.347,0.063
0.733,0.337,0.067
0.726,0.314,0.068
0.713,0.285,0.072
0.740,0.277,0.080
0.754,0.266,0.090
0.764,0.250,0.099
0.752,0.230,0.124
0.736,0.207,0.154
0.734,0.186,0.192
0.741,0.171,0.255
0.740,0.160,0.287
0.732,0.148,0.349
0.745,0.141,0.402
0.755,0.136,0.443
0.751,0.130,0.487
0.744,0.126,0.513
0.731,0.123,0.558
0.733,0.121,0.584
0.744,0.122,0.620
0.731,0.119,0.606
0.712,0.114,0.609
0.708,0.115,0.651
0.729,0.117,0.612
0.730,0.117,0.610
0.727,0.118,0.650
0.707,0.120,0.638
0.703,0.122,0.627
0.729,0.128,0.620
0.750,0.132,0.630
0.760,0.139,0.628
0.751,0.144,0.642
0.739,0.146,0.639
0.724,0.150,0.657
0.730,0.152,0.639
0.740,0.157,0.635
0.737,0.159,0.642
